id_C_20,name_C_254,type_C_100,addr_C_254,结构_C_50,面积_N_31_15,时间_C_20,装修_C_50,价格_N_31_15,gcj_lng_N_31_15,gcj_lat_N_31_15,wgs_lng_N_31_15,wgs_lat_N_31_15,bd_lng_N_31_15,bd_lat_N_31_15,gcj_shape_C_254,index,new_class,new_class_symbol
B0FFGWJKRQ,云岗职业高中,科教文化服务;学校;职业技术学校,北京市丰台区云岗田城东里2号,,,,,,116.151039,39.818234,116.144815590924,39.8168930502821,116.157415266218,39.824538903931,"116.149966,39.817889;116.150755,39.817516;116.151436,39.817229;116.151718,39.817153;116.152088,39.817143;116.152592,39.81731;116.152657,39.817335;116.152139,39.818202;116.151675,39.818163;116.15083,39.81957;116.1505,39.81951;116.150055,39.819304;116.1498",50,科教文化,7
B000A8XRYC,悦都新苑,商务住宅;住宅区;住宅小区,北京市房山区长阳镇京良路北侧(近地铁房山线篱笆房站),,223821.0,2014-02-23,毛坯,223821.0,116.186208,39.77346,116.180087728698,39.7721871220094,116.192690818064,39.779530927048,"116.184453,39.774073;116.185256,39.77512;116.18527,39.775137;116.185289,39.775151;116.185319,39.775158;116.185344,39.77516;116.185421,39.77516;116.186146,39.775157;116.187244,39.775122;116.187271,39.775116;116.187292,39.775107;116.187358,39.775032;116.18",51,商务住宅,11
B000A7P8VC,东方剑桥瀚林华馨幼儿园,科教文化服务;学校;幼儿园,北京市通州区台湖镇次渠大街19号,,,,,,116.585739,39.803536,116.579965076509,39.8025003719371,116.59233520585,39.8091958197106,"116.586057,39.803295;116.586033,39.803789;116.585425,39.803778;116.585443,39.803283;116.586057,39.803295",52,科教文化,7
B000A8X76S,北方国际大厦,商务住宅;楼宇;商务写字楼|商务住宅;楼宇;商住两用楼宇,北京市石景山区政达路6号院A座,,,,,,116.224982,39.904828,116.218930461087,39.9036013898338,116.231592932869,39.9104894964257,"116.225105,39.904736;116.225094,39.904038;116.224055,39.904046;116.224044,39.905258;116.224176,39.905353;116.226604,39.905325;116.226605,39.904945;116.22567,39.904947;116.225661,39.904728;116.225105,39.904736",53,商务住宅,11
B0FFI1Y1QR,中古友谊小学,科教文化服务;学校;小学,北京市西城区南礼士路三条2号,,,,,,116.350552,39.911992,116.344367392471,39.9106386578829,116.357142807345,39.9176910699013,"116.350117,39.912169;116.351002,39.912161;116.350995,39.911823;116.350111,39.911813;116.350117,39.912169",54,科教文化,7
B000A7RHS3,皓月苑,商务住宅;住宅区;住宅小区,北京市通州区玉桥西路3号西营前街,板楼,,2001-07-01,毛坯,,116.668268,39.898118,116.662351900087,39.896994226006,116.674759021889,39.904150334193,"116.669744,39.898211;116.669953,39.897401;116.669637,39.897363;116.66961,39.897171;116.66911,39.897206;116.668444,39.89732;116.668416,39.8974;116.668046,39.897449;116.66795,39.897513;116.667619,39.897663;116.667367,39.897763;116.666985,39.897867;116.6665",55,商务住宅,11
B000A08869,濂泉响谷自然风景区,风景名胜;风景名胜;风景名胜,北京市怀柔区八道河乡八道河68号,,,,,,116.575032,40.495432,116.56916503831,40.4942743045722,116.581653874546,40.5010955949035,"116.578165,40.49507;116.576753,40.493741;116.575923,40.494199;116.575304,40.494008;116.575111,40.4935;116.575479,40.492833;116.575514,40.492096;116.574954,40.491746;116.573798,40.491624;116.572678,40.49224;116.571803,40.493136;116.570997,40.493137;116.57",56,旅游景点,12
B000A87WRT,宋庄镇人民政府,政府机构及社会团体;政府机关;乡镇级政府及事业单位,北京市通州区政府路,,,,,,116.72792,39.94175,116.72185420884,39.9405311545235,116.734417571012,39.947706649602,"116.726902,39.940574;116.726922,39.940504;116.726932,39.940487;116.726951,39.940481;116.726975,39.94048;116.727997,39.940621;116.728017,39.940627;116.728025,39.940635;116.728027,39.940648;116.727985,39.941051;116.727963,39.941237;116.728074,39.941254;116",57,政府机构,14
B0FFI8QPYF,海友北京新国展酒店,住宿服务;宾馆酒店;经济型连锁酒店,北京市顺义区府前街裕祥花园甲20号,,,,,,116.546426,40.104676,116.540552830582,40.1035704810798,116.552921797872,40.110747304705,"116.546813,40.104957;116.546951,40.104622;116.546046,40.104389;116.545907,40.10474;116.546813,40.104957",58,酒店住宿,2
B000A85ZC9,顺义镇庄头村幼儿园,科教文化服务;学校;幼儿园,北京市顺义区庄兴街15号,,,,,,116.643691,40.146143,116.637810052863,40.1450494481188,116.650066824842,40.1524843586817,"116.643533,40.146217;116.643538,40.146068;116.643846,40.146067;116.643845,40.146219;116.643533,40.146217",59,科教文化,7
